,1-Mar-07,1-Jun-07,1-Sep-07,1-Dec-07,1-Mar-08,1-Jun-08,1-Sep-08,1-Dec-08,1-Mar-09,1-Jun-09,1-Sep-09,1-Dec-09,1-Mar-10
16-Oct-06,-0.001826489,0,-0.000899686,0,-0.000869188,-0.000869188,-0.000869188,-0.000869188,-0.000855799,-0.000855799,-0.000855799,-0.000855799,0
13-Oct-06,0,0,0,0,0.005221944,0.005221944,0.005221944,0.005221944,0,0,0,0,0
11-Oct-06,-0.008163311,0,0.005405419,0.010781776,0.005249356,0.005249356,0.005249356,0.005249356,0.0051414,0.0051414,0.0051414,0.0051414,0.00255428
10-Oct-06,0,0,0,0,0.002635048,0.002635048,0.002635048,0.002635048,0.002580647,0.002580647,0.002580647,0.002580647,0
9-Oct-06,0.001811599,0.001811599,0.001811599,0.001811599,0.00088067,0.00088067,0.00088067,0.00088067,0.000862441,0.000862441,0.000862441,0.000862441,0.000853607
5-Oct-06,-0.008141158,-0.008141158,-0.008141158,-0.008141158,-0.002642009,-0.002642009,-0.002642009,-0.002642009,-0.002587324,-0.002587324,-0.002587324,-0.002587324,-0.002560821
4-Oct-06,-0.005390849,-0.005390849,-0.005390849,-0.005390849,-0.002635048,-0.002635048,-0.002635048,-0.002635048,-0.002580647,-0.002580647,-0.002580647,-0.002580647,-0.00255428
3-Oct-06,-0.016000341,-0.016000341,-0.016000341,-0.016000341,-0.015666117,-0.015666117,-0.015666117,-0.015666117,-0.00770222,-0.00770222,-0.00770222,-0.00770222,-0.002547772
2-Oct-06,-0.00088067,-0.00088067,-0.00088067,-0.00088067,-0.000862441,-0.000862441,-0.000862441,-0.000862441,-0.000851427,-0.000851427,-0.000851427,-0.000851427,-0.000847099
29-Sep-06,0.002642009,0.002642009,0.002642009,0.002642009,0,0,0,0,0,0,0,0,0
28-Sep-06,0.013315776,0.013315776,0.013315776,0.013315776,0.00778214,0.00778214,0.00778214,0.00778214,0.0102565,0.0102565,0.0102565,0.0102565,0.007643349
27-Sep-06,0.005376357,0.005376357,0.005376357,0.005376357,0.005221944,0.005221944,0.005221944,0.005221944,0.00516797,0.00516797,0.00516797,0.00516797,0.005128216
26-Sep-06,-0.002691792,-0.002691792,-0.002691792,-0.002691792,0,0,0,0,0,0,0,0,0
25-Sep-06,-0.001787314,-0.001787314,-0.001787314,-0.001787314,-0.00087146,-0.00087146,-0.00087146,-0.00087146,0,0,0,0,0
22-Sep-06,-0.005333346,-0.005333346,-0.005333346,-0.005333346,-0.002607563,-0.002607563,-0.002607563,-0.002607563,-0.002587324,-0.002587324,-0.002587324,-0.002587324,0
20-Sep-06,-0.002656044,-0.002656044,-0.002656044,-0.002656044,-0.002600782,-0.002600782,-0.002600782,-0.002600782,-0.002580647,-0.002580647,-0.002580647,-0.002580647,-0.002567396
19-Sep-06,-0.002649008,-0.002649008,-0.002649008,-0.002649008,-0.002594035,-0.002594035,-0.002594035,-0.002594035,0,0,0,0,0
15-Sep-06,-0.002642009,-0.002642009,-0.002642009,-0.002642009,0.010416761,0.010416761,0.010416761,0.010416761,0.010362787,0.010362787,0.010362787,0.010362787,0
14-Sep-06,0.024033199,0.024033199,0.024033199,0.024033199,0.015831465,0.015831465,0.015831465,0.015831465,0.005221944,0.005221944,0.005221944,0.005221944,0
11-Sep-06,-0.00179695,-0.00179695,-0.00179695,-0.00179695,-0.001768351,-0.001768351,-0.001768351,-0.001768351,-0.003472254,-0.003472254,-0.003472254,-0.003472254,-0.00340139
8-Sep-06,-0.002684565,-0.002684565,-0.002684565,-0.002684565,-0.00790518,-0.00790518,-0.00790518,-0.00790518,-0.01030937,-0.01030937,-0.01030937,-0.01030937,0
7-Sep-06,-0.008010724,-0.008010724,-0.008010724,-0.008010724,-0.005235614,-0.005235614,-0.005235614,-0.005235614,-0.002560821,-0.002560821,-0.002560821,-0.002560821,0
6-Sep-06,-0.002656044,-0.002656044,-0.002656044,-0.002656044,0,0,0,0,0,0,0,0,0
5-Sep-06,-0.003293855,-0.003293855,-0.003293855,-0.003293855,-0.003886089,-0.003886089,-0.003886089,-0.003886089,-0.001910837,-0.001910837,-0.001910837,-0.001910837,-0.001896343
1-Sep-06,0.007884404,0.007884404,0.007884404,0.007884404,-0.002567396,-0.002567396,-0.002567396,-0.002567396,-0.002534856,-0.002534856,-0.002534856,-0.002534856,0
31-Aug-06,0.005291018,0.005291018,0.005291018,0.005291018,0.007722046,0.007722046,0.007722046,0.007722046,0.007623925,0.007623925,0.007623925,0.007623925,0
30-Aug-06,-0.023592182,-0.023592182,-0.023592182,-0.023592182,-0.007722046,-0.007722046,-0.007722046,-0.007722046,0,0,0,0,-0.008028141
24-Aug-06,0,0,0,0,0.0051414,0.0051414,0.0051414,0.0051414,0,0,0,0,0
22-Aug-06,0.020943174,0.020943174,0.020943174,0.020943174,0.010362787,0.010362787,0.010362787,0.010362787,0.007682496,0.007682496,0.007682496,0.007682496,0.010550211
21-Aug-06,0.001768351,0.001768351,0.001768351,0.001768351,0.001740648,0.001740648,0.001740648,0.001740648,0.000858001,0.000858001,0.000858001,0.000858001,0
